"html5_tags";"cms";"has_analytics";"has_js_jquery";"html5";"server";"id";"cluster"
0.0;"11";"1";"0";"0";"1";373.0;"cluster_2"
0.0;"11";"1";"0";"1";"3";374.0;"cluster_0"
0.0;"11";"1";"0";"0";"1";375.0;"cluster_2"
0.0;"3";"1";"0";"1";"1";376.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";377.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";378.0;"cluster_5"
0.0;"11";"0";"0";"0";"3";379.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";380.0;"cluster_2"
0.0;"11";"1";"1";"0";"0";381.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";382.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";383.0;"cluster_5"
0.0;"11";"1";"1";"0";"3";384.0;"cluster_2"
0.001519756838905775;"11";"1";"1";"1";"22";385.0;"cluster_0"
0.004559270516717325;"11";"1";"0";"1";"1";386.0;"cluster_0"
0.02127659574468085;"6";"0";"1";"1";"6";387.0;"cluster_7"
0.0;"11";"0";"0";"0";"22";388.0;"cluster_5"
0.0;"11";"1";"1";"0";"3";389.0;"cluster_2"
0.00911854103343465;"11";"1";"0";"1";"1";390.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";391.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";392.0;"cluster_2"
0.0;"3";"0";"0";"0";"1";393.0;"cluster_5"
0.0;"6";"1";"1";"1";"3";394.0;"cluster_0"
0.004559270516717325;"11";"1";"1";"1";"3";395.0;"cluster_0"
0.0;"3";"0";"1";"0";"1";396.0;"cluster_5"
0.028875379939209727;"6";"0";"0";"1";"3";397.0;"cluster_7"
0.0;"6";"1";"1";"1";"3";398.0;"cluster_0"
0.004559270516717325;"11";"1";"1";"1";"1";399.0;"cluster_0"
0.0;"5";"0";"0";"0";"1";400.0;"cluster_5"
0.015197568389057751;"11";"0";"0";"1";"3";401.0;"cluster_7"
0.0;"11";"1";"0";"0";"1";402.0;"cluster_2"
0.004559270516717325;"11";"1";"0";"1";"1";403.0;"cluster_0"
0.0;"11";"1";"1";"0";"1";404.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";405.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";406.0;"cluster_2"
0.0;"11";"1";"1";"0";"3";407.0;"cluster_2"
0.0;"3";"1";"0";"0";"3";408.0;"cluster_2"
0.0;"11";"0";"0";"1";"0";409.0;"cluster_7"
0.0;"11";"0";"0";"0";"1";410.0;"cluster_5"
0.0;"9";"1";"0";"0";"3";411.0;"cluster_2"
0.0;"11";"0";"1";"0";"1";412.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";413.0;"cluster_5"
0.0;"6";"1";"1";"0";"3";414.0;"cluster_2"
0.0;"11";"1";"0";"1";"3";415.0;"cluster_0"
0.0;"11";"1";"1";"0";"0";416.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";417.0;"cluster_5"
0.0;"11";"0";"1";"0";"0";418.0;"cluster_5"
0.12310030395136778;"9";"1";"0";"1";"3";419.0;"cluster_0"
0.0;"11";"0";"0";"0";"3";420.0;"cluster_5"
0.0;"6";"1";"1";"0";"3";421.0;"cluster_2"
0.0;"11";"1";"0";"0";"2";422.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";423.0;"cluster_5"
0.0;"6";"0";"0";"1";"3";424.0;"cluster_7"
0.0;"11";"0";"0";"0";"22";425.0;"cluster_5"
